player_id,username,password,email
90,pipd,acli,aqiaska
111,claaskegro,swugreummi,swobreudricl
83,skisciclu,laon,esnoinaa
141,eswixa,eoxajv,fiqoye
32,qbe,uske,otrupr
35,zseu,uuskeasl,bloadrup
21,svustoxa,baswamre,clee
155,gga,creeb,upt
29,graesco,agboglapr,skatru
101,vkirg,siploofrek,swiplispoplu
11,ujq,ehfisp,fsaqdi
150,uuglooskist,taxustapz,mjoeste
53,hgesmuusp,noplooc,usnustas
68,beclau,usliedho,gjaspuepr
123,cxasmotru,bruu,briaskeasc
13,qduub,tsootaz,iifleseir
89,xqo,clao,oswee
114,yyoiwpi,eudruu,sloploegra
105,blaprepig,bruap,iswao
26,snijjoo,hoscoif,criplue
100,sceobrusmicl,erulcoscu,skadruk
73,ubrugroqi,ticr,swucviayc
65,eof,uazmabda,fusuqp
19,oewj,triurja,crublouskej
82,sbi,qoxea,exrisco
93,iesc,icreyi,hgeg
133,slouws,afreuprebr,priebtu
126,vwaxwe,gtosp,nro
97,ymaud,deisti,uusk
5,skoskudre,kaskaisl,yheismikv
147,mpasc,bqosce,skuo
14,uuv,qzuskupl,uwweznosp
144,scumqos,gluseism,pluydupp
128,fyoflieta,ueysusn,sablu
86,mxidroagr,snon,frudrust
135,epraclukni,goste,amib
64,icror,pluskuo,scoo
60,igsugpao,skoippe,pliaclefs
38,oblaa,usqu,bluiseefr
80,uscuucrubli,eyqi,cliwl
87,gpiacrisw,okgicl,ajlicauj
24,fread,yaplocrej,iflegjufp
59,tvoclai,blaplusnue,oufl
16,sulzomv,croscadre,smopr
8,oodrundi,uiv,wudr
152,gloucl,iosp,snopluiswo
50,clitrauld,skeh,swulmebeg
88,iagfeup,skesvizri,istiv
40,iswuusl,otreprep,uplaasmo
119,sweiz,egloe,oglauq
4,skifreas,ohfapve,lnacravfo
48,pci,druplaz,tcaj
102,wusxaa,uadriospu,truvxo
56,oemr,iljehast,zkusno
117,oflijibro,flar,friplaast
113,elej,edjoayna,flepr
61,shosmoepra,ucridru,bruipletv
91,gleswuscu,junlagzu,dropasw
20,slacuar,sosweosma,eum
94,gdi,rduebropr,spofeu
9,cleslofruapr,ouspocl,ufvismetru
1,frioske,asloflii,ansucravj
137,gluguo,fjui,bdolabm
76,ustiesl,yoeglo,ffua
70,ftix,augrafru,primsu
72,uofli,kasn,odo
47,praskokge,korozl,run
130,epleossa,qhomluz,keogr
44,qgebli,fluslixuub,zxa
139,plaovxuafl,pta,uuclafraq
30,crieswecka,gleprui,pciafu
153,swoib,lmau,ocraubriu
77,eyqodruju,stuuswiph,rridraya
120,uslue,mgi,uostascubv
108,plozguega,flek,scullac
41,xbe,fleq,djui
105,cleetreclu,xitba,glai
156,uxga,jyufrafao,blusyig
93,snaimuad,aujhusto,acodgagl
133,olvee,scefla,blostaspula
63,aigl,umapm,one
23,snascesku,ikutfusnu,zyatmio
126,yegletj,lma,boqruy
128,iuvvi,skuflotr,eitoclek
